Organization Name,Industries,Headquarters Location,Description,Estimated Revenue,Operating Status,Founded Date,Contact Email,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Funding Amount,Growth Category,Growth Confidence,Monthly visit,Monthly visit growth,Visit Duration Growth,Patents Granted,Visit Duration
Riskcovry,"Insurance, InsurTech, SaaS","Juhu, Maharashtra, India",Riskcovry is a SaaS platform that distributes insurance products for businesses and individuals.,Less than $1M,Active,2018,hello@riskcovry.com,—,"Financial Services, Software",4,"Chiranth Patil, Sorabh Bhandari, Suvendu Prusty, Vidya Sridharan",101-250,4,Early Stage Venture,"₹366,000,000","₹739,000,000",Growing,High,"1,530",-14%,-46.29%,—,398
Amica Finance,"Banking, Finance","Mumbai, Maharashtra, India",Jupiter's consumer-focused neo-banking startup Amica Finance operates as an NBFC non-banking finance company.,—,Active,2019,—,—,"Financial Services, Lending and Investments",—,—,—,1,Early Stage Venture,"₹200,000,000","₹200,000,000",—,—,—,—,—,—,
Peppermint,"CleanTech, Industrial Automation, Robotics","Mumbai, Maharashtra, India",Peppermint is an industrial robotics startup.,$1M to $10M,Active,2019,—,—,"Hardware, Manufacturing, Science and Engineering, Software, Sustainability",3,"Miraj C. Vora, Nityanand Prabhutendolkar, Runal Dahiwade",11-50,2,Seed,"₹50,000,000","₹50,000,000",—,—,78,-78.86%,—,0,0
Credit Fair,"Financial Services, FinTech","Mumbai, Maharashtra, India",Credit Fair operates as a consumer lending fintech startup.,$1M to $10M,Active,2018,—,—,Financial Services,1,Aaditya Damani,101-250,5,Seed,"₹1,917,000,000","₹2,067,000,000",Growing,High,"68,733",1.14%,327.43%,—,"1,449"
DGV,"Financial Services, FinTech, Payments","Bengaluru, Karnataka, India",DGV is a dairy industry-focussed neo-banking startup.,$1M to $10M,Active,2019,pno@dgv.in,—,"Financial Services, Payments",1,Ragavan Venkatesan,11-50,$2,Early Stage Venture,"$9,101,022","$9,101,022",Growing,High,354,—,—,—,0
Vitraya,"Blockchain, Customer Service, Health Care, Information Technology, InsurTech","Mohali, Punjab, India","Vitraya is an insuretech company that provides healthcare claim settlement platform for hospitals, healthcare providers, and insurers.",$1M to $10M,Active,2019,contact@vitrayatech.com,—,"Blockchain and Cryptocurrency, Financial Services, Health Care, Information Technology, Other, Professional Services",1,Mrinal Sinha,51-100,$3,Early Stage Venture,"$10,613,959","$10,613,959",—,—,445,160.23%,—,—,0
Supersourcing,"Enterprise Software, Freelance, Mobile Apps, SaaS, Software","Indore, Madhya Pradesh, India",Supersourcing is a platform that helps businesses to hire remote engineers or agencies for product development.,$1M to $10M,Active,2019,mayank@supersourcing.com,—,"Apps, Mobile, Professional Services, Software",2,"Aditi Chaurasia, Mayank Pratap",101-250,$3,Seed,"$1,500,000","1,500,000",—,—,"34,891",76.92%,-86.55%,—,55
Bare Anatomy,"Beauty, Consumer, E-Commerce, Personalization","Gurgaon, Haryana, India",Bare Anatomy is a personalized haircare startup based out of India.,$1M to $10M,Active,2019,hello@bareanatomy.com,—,"Commerce and Shopping, Consumer Goods, Other",3,"Rohit Chawla, Sifat Khurana, Vimal Bhola",11-50,$2,Early Stage Venture,"$3,000,000","$3,000,000",Growing,High,78,—,—,—,0
Lil'Goodness,"E-Commerce, Food and Beverage, Nutrition","Bengaluru, Karnataka, India",Lil'Goodness is a kids' food and nutrition startup transforming how our future generations experience good nutrition.,$1M to $10M,Active,2018,—,—,"Commerce and Shopping, Food and Beverage, Health Care",2,"Harshavardhan S., Pariksha Rao",1-10,$5,Seed,"$1,121,542","$1,182,058",Growing,—,737,-29%,-46.28%,—,65
Creanovation,"Cloud Computing, Digital Marketing, EdTech, Education","Gurgaon, Haryana, India",Creanovation is an EdTech startup driving the digital transformation of the higher education ecosystem.,—,Active,2019,—,—,"Education, Internet Services, Sales and Marketing, Software",1,Bikash Sahoo,101-250,$3,Early Stage Venture,"$5,934,912","5,934,912",—,—,"2,304",150.71%,221.43%,—,"1,215"
Mylapay,FinTech,"Chennai, Tamil Nadu, India","Fintech startup, Redefining the future of payments.",$1M to $10M,Active,2019,contactus@mylapay.com,Seed,Financial Services,5,"Mohan Raj Ravi, Ram Kumar, Santhana Kumar, Sriharsha Ramayanam, Sundar Balasubramanian",11-50,4,Seed,"$1,279,122","$1,279,122",Growing,High,717,39.77%,-90.07%,—,73
Hoovu Fresh,"Delivery, Flowers, Retail, Subscription Service","Bangalore, Karnataka, India",Hoovu Fresh is a fresh puja flower startup.,$1B to $10B,Active,2019,—,Seed,"Administrative Services, Commerce and Shopping, Consumer Goods, Other",2,"Rhea Karuturi, Yeshoda Karuturi",11-50,3,Seed,"$1,030,968","$1,030,968",Growing,—,"1,521",-57.75%,-74.73%,—,140
AGROWAVE,"Agriculture, AgTech, Farming, Logistics, Supply Chain Management","Gurgaon, Haryana, India",Agrowave is an AgriTech startup that builds a farm-to-business mobility supply chain focusing on first-mile logistics and trade supply.,$1M to $10M,Active,2017,info@agrowaves.in,Seed,"Agriculture and Farming, Transportation",1,Anu Meena,11-50,4,Seed,"$2,567,000","$2,567,000",Growing,—,—,—,—,—,—
CRED,"Credit Cards, Financial Services, FinTech, Information Technology, Payments","Bangalore, Karnataka, India",CRED is a fintech startup that offers rewards for customers who use its platform to pay their credit card bills.,$100M to $500M,Active,2018,support@cred.club,Late Stage Venture,"Financial Services, Information Technology, Lending and Investments, Payments",2,"Cameron Hejazi, Kunal Shah",251-500,8,Late Stage Venture,"$801,492,149","$801,492,149",—,—,"4,132,342",-3.08%,0%,—,218
Social Hardware International,"Augmented Reality, Machine Learning, Manufacturing, Robotics, Software Engineering","Bengaluru, Karnataka, India","Social Hardware is a startup that designs and develops assistive devices, bionics, and field robotics for hazardous operations.",Less than $1M,Active,2017,info.crm@socialhardware.co.in,Seed,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software",3,"Abhit Kumar, Cameron Norris, Raghavendran Arunachalam",11-50,4,Seed,"$968,193","$968,193",—,—,621,-8.54%,—,—,0
Benovymed Healthcare,"Artificial Intelligence (AI), Blockchain, Cloud Computing, Health Care, Information Technology, Machine Learning, mHealth, Mobile, Mobile Apps, Robotics","Delhi, Delhi, India","Benovymed Healthcare is World's Top 20 & India's No:1 Most Impactful DeepTech Startup in Digital Health, AI Health & Telemedicine Innovation",$1M to $10M,Active,2017,contact@benovymed.com,Seed,"Apps, Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Hardware, Health Care, Information Technology, Internet Services, Mobile, Other, Science and Engineering, Software",4,"Dr P Bst, Dr S Ba, Mahendra Singh, Sa Si",11-50,3,Seed,"$5,000,000","$5,000,000",—,—,"6,347",407.35%,-48.26%,—,342
Primaa,"Health Care, Software","Mumbai, Maharashtra, India",Primaa is a health tech startup that develops software tools to assist pathologists with cancer and other diagnoses,$1M to $10M,Active,2018,—,Seed,"Health Care, Software",1,Fanny SOCKEEL,11-50,3,Seed,"$7,207,798","$7,207,798",—,—,93,-93.76%,52.55%,—,0
ImmunoACT,"Biotechnology, Product Research","Mumbai, Maharashtra, India",ImmunoACT is an advanced cell and gene therapy startup.,—,Active,2018,helpdesk@immunoact.com,—,"Biotechnology, Data and Analytics, Design, Science and Engineering",—,—,11-50,3,—,"₹1,357,500,000","₹1,397,500,000",Growing,—,915,-75.05%,51.43%,—,0
Greenjoules,"Biofuel, Energy, Renewable Energy","Pune, Maharashtra, India",Greenjoules is a green energy technology startup that specializes in making renewable biofuels.,$1M to $10M,Active,2018,queries@greenjoules.in,Early Stage Venture,"Energy, Natural Resources, Sustainability",4,"R. Sethunath, V S Shridhar, V. Radhika, Viraraghavan Sankaran",11-50,1,Early Stage Venture,"₹330,000,000","₹330,000,000",Growing,—,537,—,—,—,55
Mynvax,"Biotechnology, Health Care","Bangalore, Karnataka, India",Mynvax is an Indian-based biotech startup that develops next-generation vaccines for influenza.,$100M to $500M,Active,2017,—,Early Stage Venture,"Biotechnology, Health Care, Science and Engineering",2,"Gautam Nadig, Raghavan Varadarajan",1-10,3,Early Stage Venture,"₹526,300,000","₹526,300,000",Growing,—,—,—,—,—,—
Khatabook,"Accounting, Financial Services, Payments, SaaS, Software","Bangalore, Karnataka, India",Khatabook is the fintech startup that provides a digital ledger app targeted primarily at small businesses.,$10M to $50M,Active,2018,feedback@khatabook.com,—,"Financial Services, Payments, Professional Services, Software",5,"Ashish Sonone, Dhanesh Kumar, Jaideep Poonia, Ravish Naresh, Vaibhav Kalpe",101-250,5,Late Stage Venture,"$186,708,974","$186,708,974",—,—,"698,898",41.60%,2.55%,—,"1,288"
PeAr Technologies,"Apps, Artificial Intelligence (AI), Software","Ghatkopar, Maharashtra, India",PeAr Technologies is a deep-tech and artificial intelligence-focussed startup,Less than $1M,Active,2018,infopeartechnologies@gmail.com,—,"Apps, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",4,"Dharmin Vora, Dhruvesh Mehta, Parth Vora, Varun Shah",11-50,4,Seed,"$969,778","$969,778",—,—,761,1.74%,406.52%,—,466
Aviotron Aerospace,"Aerospace, CAD, E-Learning, Training","Noida, Uttar Pradesh, India","Aviotron Aerospace is an ed-tech startup focused on training the future generation of aviators, designers, and scientists.",—,Active,2019,info@aviotron.com,—,"Design, Education, Science and Engineering, Software",2,"Ashish Kumawat, Neha Chauhan",11-50,1,Seed,"₹49,600,000","₹49,600,000",Growing,High,"28,798",398.32%,16.67%,—,56
Toffee Insurance,"Financial Services, Health Insurance, Insurance, InsurTech, Property Insurance","Gurgaon, Haryana, India","Toffee Insurance is a digital insurance platform that offers insurtech, health, home, and travel insurance solutions.",—,Active,2017,support@toffeeinsurance.com,—,Financial Services,2,"Nishant Jain, Rohan Kumar",51-100,4,Early Stage Venture,"$7,100,000","$7,100,000",—,—,219,-79.12%,-75.24%,—,0
Ment Tech,"Artificial Intelligence (AI), Blockchain, Cryptocurrency, Financial Exchanges, Financial Services, FinTech, Information Technology, Machine Learning, Trading Platform, Web3","Indore, Madhya Pradesh, India",Building Revolutionary Software Solutions for Blockchain and AI-Based Startups and Enterprises,—,Active,2019,info@ment.tech,—,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Information Technology, Internet Services, Lending and Investments, Other, Payments, Science and Engineering, Software",1,Ujjwal Sahay,101-250,4,Seed,"$6,410,000","$6,410,000",Growing,High,931,91.96%,-26.12%,—,0
MEDdelivery,"Health Care, Pharmaceutical","Jaipur, Rajasthan, India",MEDdelivery operates as a B2B pharma-tech startup.,—,Active,2018,—,—,Health Care,3,"Aastha Dusad, Rahul Gautam, Rohit Bafna",1-10,2,Seed,"₹74,000,000","₹74,000,000",—,—,433,742.59%,—,—,20
Nanosafe Solutions,"Biotechnology, Cosmetics, Electronics, Textiles","Delhi, Delhi, India",Nanosafe Solutions is a scientific start-up that develops indigenous and sustainable material science technology and products.,—,Active,2019,"Info@nanosafesolutions.com, care@nanosafesolutions.com",—,"Biotechnology, Consumer Electronics, Consumer Goods, Hardware, Manufacturing, Science and Engineering",2,"Anasuya Roy, Dr. Anasuya Roy",11-50,1,Seed,"₹31,300,000","₹31,300,000",—,—,311,81.87%,-66.20%,—,24
Loom Solar Private Limited,"Manufacturing, Solar","Faridabad, Haryana, India","Loom Solar is a start-up, a manufacturer of solar panels and Lithium batteries based out of Faridabad, Haryana.",—,Active,2018,hello@loomsolar.com,—,"Energy, Manufacturing, Natural Resources, Sustainability",2,"Amod Anand, Amol Anand",51-100,1,—,"$2,000,000",—,Growing,Medium,"322,459",34.70%,31.81%,—,605
Express Stores,Retail,"Gurgaon, Haryana, India",Express Stores is an omnichannel startup that provides a solution to retailers which helps them deliver great value to consumers.,$100M to $500M,Active,2019,—,—,Commerce and Shopping,2,"Apoorv Jain, Kartik Gupta",11-50,3,Early Stage Venture,"$1,100,000","$3,031,007",Not Growing,High,—,—,—,—,—
HYRGPT,"Artificial Intelligence (AI), Human Resources, Recruiting, SaaS","Bangalore, Karnataka, India",HYRGPT is a hrtech startup that focuses in hiring top talent in minutes using artificial intelligence.,—,Active,2019,hello@hyrgpt.com,—,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",—,—,11-50,2,—,"₹12,500,000",—,—,—,"1,160",-77.60%,-87.67%,—,112
DealShare,"Consumer Goods, E-Commerce, Grocery, Group Buying, Retail, Retail Technology","Bangalore, Karnataka, India","DealShare is an online buying platform for multi-category consumer products, focused on the new 'WhatsApp first'.",$1B to $10B,Active,2018,aditi.sharma@dealshare.in,—,"Commerce and Shopping, Consumer Goods, Food and Beverage, Hardware, Software",4,"Rajat Shikhar, Sankar Bora, Sourjyendu Medda, Vineet Rao",1001-5000,6,Late Stage Venture,"$377,600,000","$390,340,323",—,—,"62,575",7.53%,44.44%,—,"1,326"
Thinkogic,"Artificial Intelligence (AI), Chatbot, Consulting, Health Care, Information Technology, Internet of Things, Manufacturing, SaaS, Software","Thane, Maharashtra, India",Thinkogic is a software development company that specializes in creating custom software applications that drive businesses forward.,—,Active,2019,connect@thinkogic.com,—,"Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Internet Services, Manufacturing, Professional Services, Science and Engineering, Software",2,"Madan Gopal, Shailendra Humne",11-50,1,Seed,"$2,400,000","$2,400,000",—,—,"9,396",77.42%,-85.97%,—,117
Wubba Lubba Dub Dub,"Advertising, Content Creators, Creative Agency, Video on Demand","Bangalore, Karnataka, India","Wubba Lubba Dub Dub is a digital communication agency that provides meme campaigns, influencer marketing, and content on-demand services.",$1M to $10M,Active,2018,hello@wldd.in,—,"Advertising, Content and Publishing, Media and Entertainment, Sales and Marketing, Video",—,—,101-250,1,Seed,"$1,250,000","$1,250,000",—,—,978,-70.71%,-98.11%,—,7
buymyEV,"Automotive, Electric Vehicle, Internet of Things, Last Mile Transportation, Mobile Apps, Transportation","Bengaluru, Karnataka, India","Building all electric 2W clean, green & connected.",$1M to $10M,Active,2019,support@buymyev.in,—,"Apps, Internet Services, Mobile, Software, Transportation",2,"Varsha Vasudeva, Vivek Sharanappa",11-50,1,Seed,"$1,500,000","$1,500,000",—,—,—,—,—,—,—
Forum for Innovation Incubation Research and Entrepreneurship,"Funding Platform, Incubators, Non Profit","Margão, Goa, India","FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",—,Active,2018,manager@fiire.org.in,"Grant, Seed","Financial Services, Lending and Investments, Other, Social Impact",1,D S Prashant,1-10,1,—,"₹102,500,000",—,—,—,717,-21.30%,-58.85%,—,637
Uzhavarbumi,"Apps, Delivery, Food and Beverage, Food Delivery, Grocery, Organic","Chengalpattu, Tamil Nadu, India",Fresh Cow Milk Delivery Startup,$1M to $10M,Active,2017,info@uzhavarbumi.com,—,"Administrative Services, Apps, Food and Beverage, Software, Sustainability, Transportation",1,Vetrivel Palani,101-250,2,—,"₹87,000,000","₹87,000,000",—,—,"8,442",-85.37%,48.64%,—,"2,570"
Evo Foods,"Food and Beverage, Food Processing, Wellness","Mumbai, Maharashtra, India",Evo Foods is a food processing company that manufactures and produces a delicious and fluffy plant-based egg alternative.,$1M to $10M,Active,2019,hello@evofoods.in,—,"Food and Beverage, Health Care",2,"Kartik Dixit, Shraddha Bhansali",1-10,5,Seed,"$4,340,000","$4,340,000",Growing,—,—,—,—,—,—
Prakriti E-mobility,"B2B, B2C, Electric Vehicle","New Delhi, Delhi, India",Prakriti E-mobility is an electric mobility startup.,$1M to $10M,Active,2019,info@eprakriti.com,—,"Other, Transportation",—,—,11-50,1,Seed,"$7,000,000","$7,000,000",Growing,—,—,—,—,—,
Urban Matrix,"Artificial Intelligence (AI), Drone Management, Drones","Bengaluru, Karnataka, India","UrbanMatrix is a Bangalore-based start-up, specializing in providing end-to-end drone solutions.",$1M to $10M,Active,2019,contact@urbanmatrix.co.in,—,"Artificial Intelligence (AI), Consumer Electronics, Consumer Goods, Data and Analytics, Hardware, Science and Engineering, Software",—,—,11-50,2,Seed,"₹60,000,000","₹60,000,000",Growing,High,—,—,—,—,
The Tarzan Way,"Artificial Intelligence (AI), B2C, Tour Operator, Travel","Noida, Uttar Pradesh, India","AI Based Travel Consultant, Experiential Travel Provider",—,Active,2018,info@thetarzanway.com,—,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software, Travel and Tourism",2,"Aryen Negi, Shikhar Chadha",11-50,2,Seed,"₹2,400,000","₹2,400,000",—,—,"6,687",-30.25%,554.93%,—,465
Nutrifresh,"AgTech, Farming, Hydroponics, Organic Food","Pune, Maharashtra, India",Nutrifresh is an agritech startup focusing on hydroponically-grown produce.,$10M to $50M,Active,2019,—,—,"Agriculture and Farming, Food and Beverage",—,—,101-250,2,Seed,"$5,000,000","$5,000,000",—,—,105,-80.98%,—,—,0
Truliv,"Hospitality, Real Estate","Chennai, Tamil Nadu, India",Truliv is a hospitality startup that provides coliving and holiday homes for all demographic populations.,$1M to $10M,Active,2019,—,—,"Real Estate, Travel and Tourism",1,Ranjeeth Rathod,11-50,1,Seed,"₹120,000,000","₹120,000,000",—,—,"2,412",-26.08%,-53.92%,—,147
Agrograde,"Agriculture, AgTech, Artificial Intelligence (AI), Industrial Automation, Machine Learning, Software","Mumbai, Maharashtra, India",Agrograde automates the grading and sorting process of fruits and vegetables by using computer vision.,—,Active,2018,contact@occipitaltech.com,—,"Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Manufacturing, Science and Engineering, Software",2,"Kshitij Thakur, Rakeshkumar Barai",11-50,5,Seed,"₹21,000,000","₹23,500,000",—,—,621,—,—,1,0
Raskik,"Food and Beverage, Organic Food, Retail","Gurgaon, Haryana, India",Raskik is a fusion beverage startup that offers healthy beverage options.,$1M to $10M,Active,2019,—,—,"Commerce and Shopping, Food and Beverage",1,Vikash Chawla,11-50,4,M&A,"$1,031,361","$1,031,361",Growing,—,—,—,—,—,
Knorish,"E-Commerce, EdTech, Education, SaaS, Software","Gurgaon, Haryana, India",A SaaS platform to launch Online Stores and sales funnels for selling courses and content.,$1B to $10B,Active,2018,support@knorish.com,—,"Commerce and Shopping, Education, Software",2,"Kinner N Sacchdev, Rakhi Wadhwa",51-100,5,Seed,"$1,423,000","$1,423,000",Growing,—,"46,408",55.87%,131.58%,—,352
ASQI Advisors,"Asset Management, Blockchain, Financial Services","Mumbai, Maharashtra, India",ASQI Advisors is a Blockchain technology startup,—,Active,2019,info@asqi.in,—,"Blockchain and Cryptocurrency, Financial Services, Other",—,—,11-50,1,Seed,"$1,000,000","$1,000,000",—,—,671,591.75%,411.57%,—,"1,545"
MOPP Foods,"E-Commerce, Food and Beverage, Food Delivery, Restaurants","Gurgaon, Haryana, India",Mopp Foods is a restaurant chain that offers a wide variety of finger-licking parathas and pakodas.,—,Active,2019,info@moppfoods.com,—,"Commerce and Shopping, Food and Beverage, Transportation",2,"Gaurav Gupta, Geetika Anand Gupta",11-50,4,Seed,"₹7,500,000","₹7,500,000",—,—,14,-98.61%,10.53%,—,0
Techbooze Consultancy Services,"Business Development, Funding Platform","New Delhi, Delhi, India","Techbooze is dedicated to providing expert consultancy to startups and other businesses, offering support to securing funding for growth.",—,Active,2017,info@techbooze.com,—,"Financial Services, Lending and Investments, Professional Services",1,Subhashis Kar,101-250,2,Early Stage Venture,"$16,000,000","$16,000,000",—,—,—,—,—,—,
AvalonMeta Ventures,"Education, Gaming","Bangalore, Karnataka, India",AvalonMeta Ventures is a startup combining education and gaming.,$1M to $10M,Active,2019,hello@avalonmeta.com,—,"Education, Gaming",3,"Abhinav Arora, Shashank Udupa, Varun Mayya",11-50,3,M&A,"$470,000","$470,000",—,—,—,—,—,—,
Seven,"Electronics, FinTech, Hardware, Internet of Things, Wearables","Mumbai, Maharashtra, India","Seven is a consumer electronic D2C startup from India, building wearable smart ring products in the Fintech space.",—,Active,2018,vijay@sevenring.com,—,"Consumer Electronics, Financial Services, Hardware, Internet Services",2,"Karthik Menon, Vijay Khubchandani",1-10,2,Seed,"$160,000","$160,000",—,—,"74,451",102.82%,-33.67%,1,65
Ecoil,"Clean Energy, Logistics, Oil and Gas","Jaipur, Rajasthan, India",Ecoil is a cutting-edge environmentally conscious startup that produces gasoline.,—,Active,2018,ecoil.purchase@gmail.com,—,"Energy, Natural Resources, Sustainability, Transportation",—,—,11-50,1,—,"₹30,000,000","₹30,000,000",—,—,177,-67.52%,-96.77%,—,16
Vitto,"Artificial Intelligence (AI), FinTech, Micro Lending, Small and Medium Businesses, Software","New Delhi, Delhi, India",Helping MSME to get affordable capital digitally,Less than $1M,Active,2019,info@vitto.money,—,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Other, Science and Engineering, Software",2,"Kapil Patil, Swati Sinha",11-50,4,Seed,"$200,000","$200,000",—,—,"1,337",622.70%,—,—,"2,096"
Sciative Solutions - We Price Right,"Air Transportation, Artificial Intelligence (AI), E-Commerce, Retail, Retail Technology, Software, Transportation, Travel","Mumbai, Maharashtra, India",Sciative offers AI-powered automated real-time Price Optimization and promotions solutions for revenue maximization for Retail/Ecom/Travel,$1M to $10M,Active,2018,vijeta@sciative.com,—,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Science and Engineering, Software, Transportation, Travel and Tourism",2,"Anshu Jalora, Vijeta Soni",11-50,1,Seed,"$1,000,000","$1,000,000",—,—,"9,024",93.11%,205.99%,—,869
Order For Health,"Food and Beverage, Food Processing, Health Care, Nutrition","Bangalore, Karnataka, India",Order For Health operates as a health food startup.,$1M to $10M,Active,2019,—,—,"Food and Beverage, Health Care",—,—,51-100,1,Seed,"₹10,000,000","₹10,000,000",—,—,186,-54.19%,—,—,27
Natch,"Food and Beverage, Food Processing","Mumbai, Maharashtra, India",Natch is a snack food startup company.,—,Active,2018,hello@natch.in,—,Food and Beverage,—,—,1-10,1,Seed,"₹30,000,000","₹30,000,000",—,—,143,-70.70%,-20%,—,72
Reccy Adventures,"Adventure Travel, Fantasy Sports","Gurgaon, Haryana, India",Reccy Adventures is an adventure sports startup.,—,Active,2019,info@reccytravel.com,—,"Gaming, Sports, Travel and Tourism",4,"Amit Chowdhury, Anirban Sen, Siddhartha Chatterjee, Tapas Pal",11-50,1,Seed,"₹30,000,000","₹30,000,000",—,—,170,—,—,—,0
IVF Access,Health Care,"Bengaluru, Karnataka, India",IVF Access is a healthcare startup.,$1M to $10M,Active,2019,—,—,Health Care,4,"Harinath Chakravarthy, Naresh Rao, Nikhil Rajmohan, Pravin Kumar Sethuraman",51-100,2,—,"$5,750,000","$5,750,000",—,—,444,844.68%,—,—,0
Little Leap,"EdTech, Mobile","Gurgaon, Haryana, India",Little Leap is an online education platform.,$1M to $10M,Active,2019,info@littleleap.co.in,—,"Education, Mobile, Software",1,Vishal Gupta,1-10,1,Seed,"₹26,700,000","₹26,700,000",—,—,—,—,—,—,
SICCA Automation,"AgTech, Electronics, Farming, Horticulture, Industrial Automation, Intelligent Systems, Internet of Things, Sensor","Pune, Maharashtra, India",SICCA uses proprietary sensor-based scalable IoT technology to optimize water usage at the farm thus increasing yield significantly,—,Active,2017,info@senseitout.com,—,"Agriculture and Farming, Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Internet Services, Manufacturing, Science and Engineering",3,"ABHAY HAKE, Faizan Shaikh, Jasveer Singh",11-50,4,—,"₹500,000","₹6,900,000",—,—,—,—,—,—,
DotPe,"E-Commerce, E-Commerce Platforms, FinTech, Payments, Retail Technology, Software","Gurgaon, Haryana, India",DotPe is a technology start-up providing a commerce and payments platform to offline enterprise businesses.,$100M to $500M,Active,2019,contact@dotpe.in,—,"Commerce and Shopping, Financial Services, Hardware, Internet Services, Payments, Software",4,"Anurag Gupta, Gyanesh Sharma, Maharipu Daman Singh Chauhan, Shailaz Nag",251-500,3,Early Stage Venture,"$90,000,000","$90,000,000",Growing,—,"1,983,286",57.22%,50.71%,—,532
ACCETION,Artificial Intelligence (AI),"Bangalore, Karnataka, India",A startup working on Augmented intelligence - a human-centric partnership model of people and AI and transforming businesses through AI.,Less than $1M,Active,2018,info@accetion.com,—,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",1,Subrata Das,1-10,1,—,"$470,000",—,—,—,"1,369",-5.33%,148.15%,—,67
GreenJams,"Building Material, CleanTech, Construction","Visakhapatnam, Andhra Pradesh, India","Creating carbon negative, low cost and high insulation building materials.",—,Active,2019,hello@greenjams.org,—,"Manufacturing, Real Estate, Sustainability",2,"Tarun Jami, Varun Jami",11-50,10,Seed,"$353,825","$443,175",—,—,"1,081",-98.62%,-99.16%,—,10
RTIwala,"Consulting, Content Creators, Legal, Legal Tech","Bhopal, Madhya Pradesh, India","RTIwala is a citizen-centric Legaltech startup, empowering the masses through sensible content and affordable legal solutions.",$1B to $10B,Active,2017,help@rtiwala.com,—,"Content and Publishing, Media and Entertainment, Professional Services",2,"Kritika Mahendra, Sumeet Mahendra",1-10,2,—,"₹2,500,000","₹2,500,000",Growing,High,93,-5.10%,—,—,0
BetterSpace,"Education, Health Care, Wellness","Raipur, Chhattisgarh, India","BetterSpace is a mental health technology startup on sexuality, disability and mental health education and consultancy.",—,Active,2019,—,—,"Education, Health Care",—,—,1-10,1,Seed,"₹4,500,000","₹4,500,000",—,—,—,—,—,—,—
Houm,"Internet, Network Security, Privacy, Video Conferencing","Mumbai, Maharashtra, India",Houm is a start-up company that provides a private communication channel with privacy on the internet.,—,Active,2018,help@houm.me,—,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Privacy and Security, Software",2,"Bijai Jayarajan, Priya Goenka",11-50,1,Early Stage Venture,"$3,500,000","$3,500,000",—,—,177,—,—,—,0
GoNuts,Media and Entertainment,"Pune, Maharashtra, India",GoNuts operates as a celebrity and fan engagement startup.,—,Active,2019,—,—,Media and Entertainment,3,"Joji George, Mayank Gupta, Vinamra Pandiya",1-10,2,Seed,"₹35,000,000","₹35,000,000",—,—,281,—,—,—,177
StowNest Storage,"Location Based Services, Self-Storage, Service Industry, Smart Cities, Warehousing","Bangalore, Karnataka, India","Flexible On Demand Storage services for household, luggage, Office Workspace, and Business stock and equipments.",Less than $1M,Active,2019,contact@stownest.com,—,"Data and Analytics, Internet Services, Navigation and Mapping, Other, Real Estate, Transportation",4,"Amieth Kumar, Ramesh Chincholi, Srinivasa Murthy, Sudhindra Subbarao",101-250,2,Seed,"$630,000","$630,000",—,—,"62,490",5.59%,-77.41%,—,143
RoadMetrics,"Artificial Intelligence (AI), Enterprise Software, Information Technology, Machine Learning, Mapping Services, Navigation","Bangalore City, Karnataka, India",RoadMetrics is an enterprise grade application that provides AI-based road mapping services.,Less than $1M,Active,2019,info@roadmetrics.ai,—,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Navigation and Mapping, Science and Engineering, Software",3,"Dipen Babariya, Mishal Jariwala, Nikhil Prasad Maroli",1-10,1,Seed,"$250,000","$250,000",Growing,Medium,"3,378",-59.33%,35.13%,—,"1,054"
CapFront Technologies Private Limited,"Consumer Lending, Micro Lending","Bengaluru, Karnataka, India",CapFront Technologies is an information technology startup company that offers product development and information technology services.,—,Active,2018,support@loanfront.in,—,"Financial Services, Lending and Investments",1,Gowrinath Raghava,251-500,2,Seed,"$5,440,000","$5,440,000",—,—,"3,032",43.97%,87.32%,—,133
GutWellness Club,"Health Care, Wellness","Bengaluru, Karnataka, India",GutWellness Club is a wellness startup focused on neutral healing and proactive treatments for gut issues.,—,Active,2019,—,—,Health Care,2,"Anita Shet, Swarnalatha Chandhran",1-10,2,Seed,"$250,000","$250,000",—,—,775,232.62%,109.09%,—,428
